4k18;Kinase
5bml;Kinase
2c5x;Kinase
2c5y;Kinase
2c5n;Kinase
4ps3;Kinase
4ps7;Kinase
4ps8;Kinase
4xcu;Kinase
4bch;Kinase
4e6c;Kinase
4e6d;Kinase
4yve;Kinase
4yvc;Kinase
5gjf;Kinase
5gjg;Kinase
2ow3;Kinase
4idt;Kinase
4zk5;Kinase
1f92;Kinase
5knj;Kinase
3k3j;Kinase
4uxl;Kinase
2uzl;Kinase
3khv;Kinase
1f5k;Kinase
4awi;Kinase
3g15;Kinase
3sc1;Kinase
2zjw;Kinase
1wbs;Kinase
5f94;Kinase
3feg;Kinase
5eom;Kinase
1gja;Kinase
5ghv;Kinase
5jgd;Kinase
2brh;Kinase
2b54;Kinase
4anu;Kinase
5l2w;Kinase
4jai;Kinase
4a4x;Kinase
