5diq;Transferase
4iwd;Transferase
4ekg;Transferase
4lww;Transferase
4ek9;Transferase
10gs;Transferase
5i9y;Transferase
5i9x;Transferase
1hvy;Transferase
5ety;Transferase
1v2h;Transferase
3smq;Transferase
1pf7;Transferase
5ccl;Transferase
3krl;Transferase
2f89;Transferase
4eki;Transferase
4pns;Transferase
4pnq;Transferase
4pnl;Transferase
3s7b;Transferase
2wk6;Transferase
3asx;Transferase
3faa;Transferase
1ld8;Transferase
1ld7;Transferase
3qti;Transferase
5eds;Transferase
4hlg;Transferase
5drt;Transferase
4gz3;Transferase
3n45;Transferase
3n49;Transferase
3kjd;Transferase
4jvj;Transferase
4o28;Transferase
1pl0;Transferase
3r7o;Transferase
3qvv;Transferase
3qvu;Transferase
3ie3;Transferase
4o15;Transferase
4waf;Transferase
4ui3;Transferase
4ui6;Transferase
4ui7;Transferase
4ui4;Transferase
4ui5;Transferase
3l3m;Transferase
3ua9;Transferase
4hvs;Transferase
3n6k;Transferase
3mv5;Transferase
3mvh;Transferase
4uuh;Transferase
1mzc;Transferase
2wot;Transferase
2wou;Transferase
5adt;Transferase
5adr;Transferase
5ads;Transferase
5adq;Transferase
3ce0;Transferase
4j22;Transferase
3kqs;Transferase
3kqt;Transferase
3kqw;Transferase
4tk5;Transferase
2q7o;Transferase
3kqo;Transferase
4y64;Transferase
4y63;Transferase
5ccm;Transferase
3dkj;Transferase
4l2g;Transferase
4zzx;Transferase
4zzz;Transferase
5ayf;Transferase
4zz1;Transferase
4zz2;Transferase
4zz3;Transferase
5ayy;Transferase
4l2k;Transferase
3ggc;Transferase
3ggj;Transferase
2on6;Transferase
2onz;Transferase
2ony;Transferase
4lil;Transferase
4msk;Transferase
4li8;Transferase
4li6;Transferase
1lbk;Transferase
3ii5;Transferase
4pmt;Transferase
4pms;Transferase
4pmp;Transferase
4pmm;Transferase
5bvo;Transferase
5bvn;Transferase
5bvk;Transferase
5bvw;Transferase
4xmo;Transferase
3qfv;Transferase
5lt6;Transferase
3vhe;Transferase
4hra;Transferase
4rxa;Transferase
3pb9;Transferase
3pb8;Transferase
4ear;Transferase
3gep;Transferase
4fmu;Transferase
3g0f;Transferase
3kqp;Transferase
3kqy;Transferase
4tk0;Transferase
3kqm;Transferase
2j9h;Transferase
4tkg;Transferase
4tkf;Transferase
3bea;Transferase
4gb9;Transferase
1rr6;Transferase
1ydk;Transferase
4o0z;Transferase
1vjy;Transferase
4hlf;Transferase
4hlm;Transferase
4hlh;Transferase
4hlk;Transferase
4lpg;Transferase
4lph;Transferase
3q6z;Transferase
3q6w;Transferase
5a4c;Transferase
2obf;Transferase
3rhk;Transferase
1wok;Transferase
4hl5;Transferase
3eqr;Transferase
3bgs;Transferase
4iue;Transferase
5brn;Transferase
4gdy;Transferase
3ocp;Transferase
1l5s;Transferase
4y62;Transferase
4avw;Transferase
4avu;Transferase
3n5h;Transferase
4ibm;Transferase
5kit;Transferase
4eev;Transferase
1rw8;Transferase
1uou;Transferase
2y1w;Transferase
3rjw;Transferase
3ioi;Transferase
4l2f;Transferase
2g8n;Transferase
4w9w;Transferase
4gfo;Transferase
5djv;Transferase
5djp;Transferase
5djr;Transferase
5ia4;Transferase
5ia1;Transferase
3pbb;Transferase
4ufu;Transferase
4hhz;Transferase
3fpd;Transferase
4lts;Transferase
4n3r;Transferase
5ggl;Transferase
2gvj;Transferase
3uh2;Transferase
3uh4;Transferase
4rad;Transferase
2wu6;Transferase
1pkx;Transferase
3og7;Transferase
2f94;Transferase
3vo3;Transferase
5bsk;Transferase
4n1z;Transferase
4k4f;Transferase
4k4e;Transferase
4uxq;Transferase
4ux4;Transferase
4hmh;Transferase
5dsx;Transferase
5g1p;Transferase
5etj;Transferase
2rd6;Transferase
5lxp;Transferase
4l09;Transferase
4l0b;Transferase
4l0i;Transferase
4l0t;Transferase
4l0v;Transferase
4l0s;Transferase
2w1i;Transferase
2an5;Transferase
3n46;Transferase
4l34;Transferase
1l5q;Transferase
1l5r;Transferase
1p4r;Transferase
1i00;Transferase
2aox;Transferase
2aov;Transferase
2aow;Transferase
2aou;Transferase
4l2x;Transferase
3v66;Transferase
4btk;Transferase
5ak0;Transferase
5akw;Transferase
5aku;Transferase
2vwy;Transferase
2vwx;Transferase
2vwz;Transferase
4gs6;Transferase
3sr4;Transferase
3ocb;Transferase
3gus;Transferase
1l7x;Transferase
4l4l;Transferase
4l4m;Transferase
4bj9;Transferase
3v0p;Transferase
4bjb;Transferase
4bjc;Transferase
3fhb;Transferase
5aix;Transferase
5aiv;Transferase
5kcv;Transferase
2a14;Transferase
5emm;Transferase
5eml;Transferase
5emk;Transferase
3hb8;Transferase
5lyh;Transferase
4wuy;Transferase
1hnn;Transferase
3kcf;Transferase
1t46;Transferase
4l6q;Transferase
1gsf;Transferase
2oj9;Transferase
1v41;Transferase
4n9c;Transferase
4n9b;Transferase
4n9d;Transferase
1bwn;Transferase
3dgq;Transferase
3gjw;Transferase
4qxs;Transferase
3gn7;Transferase
5am7;Transferase
5am6;Transferase
2l84;Transferase
4uvw;Transferase
4uvv;Transferase
4uvu;Transferase
4uvy;Transferase
4uvx;Transferase
4ew2;Transferase
4ew3;Transferase
3udd;Transferase
1yq7;Transferase
4n9e;Transferase
3lw0;Transferase
4gg7;Transferase
4hyf;Transferase
3wcl;Transferase
3wci;Transferase
3wch;Transferase
4o1d;Transferase
3wcf;Transferase
4o1b;Transferase
4o10;Transferase
4o12;Transferase
4o13;Transferase
4xyf;Transferase
4m7b;Transferase
5ais;Transferase
5acb;Transferase
3b2t;Transferase
2p4i;Transferase
3s2a;Transferase
3ff6;Transferase
2opb;Transferase
3bz3;Transferase
5egs;Transferase
1py5;Transferase
3n5j;Transferase
4kc4;Transferase
2f9k;Transferase
4rac;Transferase
4rab;Transferase
4rao;Transferase
4ran;Transferase
4raq;Transferase
3od0;Transferase
2x7o;Transferase
3mo5;Transferase
4krs;Transferase
1q3d;Transferase
4bb4;Transferase
4azf;Transferase
4nvq;Transferase
1juj;Transferase
3hjo;Transferase
3d94;Transferase
5emj;Transferase
4ynd;Transferase
4u0u;Transferase
2yhy;Transferase
4l33;Transferase
4xue;Transferase
4xuc;Transferase
3d1v;Transferase
3owk;Transferase
3owj;Transferase
3owl;Transferase
4yqv;Transferase
4yqu;Transferase
4yqm;Transferase
4abk;Transferase
2vf6;Transferase
4dvi;Transferase
4u0i;Transferase
4p5z;Transferase
4f1q;Transferase
5ece;Transferase
5lsx;Transferase
5lsy;Transferase
4m6p;Transferase
4uhg;Transferase
1uwh;Transferase
13gs;Transferase
1wug;Transferase
4hw7;Transferase
3mwe;Transferase
2oo8;Transferase
5aeh;Transferase
5lss;Transferase
1jqe;Transferase
3kr8;Transferase
3kr0;Transferase
3kr1;Transferase
3kr2;Transferase
2g71;Transferase
4ga3;Transferase
4j3m;Transferase
4j3l;Transferase
3v0l;Transferase
1d6n;Transferase
4m6q;Transferase
1uu8;Transferase
3n3l;Transferase
3n1v;Transferase
3n1w;Transferase
4d2r;Transferase
4eb8;Transferase
3qk0;Transferase
4tjw;Transferase
4tju;Transferase
4tjy;Transferase
4pnr;Transferase
4pnt;Transferase
4pnn;Transferase
4pnm;Transferase
2jdo;Transferase
3kpv;Transferase
3kpw;Transferase
3kpu;Transferase
5dgm;Transferase
3l3l;Transferase
4l6s;Transferase
3k8o;Transferase
3k8q;Transferase
4ryl;Transferase
1ezf;Transferase
3u6j;Transferase
3u6h;Transferase
3u6i;Transferase
4kzq;Transferase
4kzu;Transferase
4kzl;Transferase
1wum;Transferase
2oc9;Transferase
2oc4;Transferase
5ggk;Transferase
5a46;Transferase
5ggn;Transferase
2gss;Transferase
2i1m;Transferase
4ufy;Transferase
2zm3;Transferase
4h5e;Transferase
4h5d;Transferase
4h5c;Transferase
2y1x;Transferase
4ge9;Transferase
4ge4;Transferase
4ge7;Transferase
3pb7;Transferase
4f1l;Transferase
3e01;Transferase
5arf;Transferase
5arg;Transferase
1em6;Transferase
1exv;Transferase
3q71;Transferase
4n4v;Transferase
4ijq;Transferase
